param,interVariance,intraVariance,lgClusterArea,lgClusterSize,n_singlton,smClusterSize
"{'IDWpower': 0.1, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 5}",-0.009260036191911635,2.5726929567867853,-1.0270002497037256,-203.6,-4,5.85
"{'IDWpower': 0.1, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 8}",-0.029241173433498226,2.6778981300946327,-1.1066678230508196,-191.74999999999997,-2,4.0
"{'IDWpower': 0.1, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 13}",-0.04054211111111896,3.3242522720967878,-0.8957479069697659,-209.3,-4,4.85
"{'IDWpower': 0.1, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 5}",-0.011874527933718371,2.6272099630116896,-1.080736431067141,-192.6,-4,6.85
"{'IDWpower': 0.1, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 8}",-0.03500014445726204,2.841334564494141,-0.9297672619012234,-191.49999999999991,-4,4.0
"{'IDWpower': 0.1, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 13}",-0.039506662111323684,3.440161315006685,-0.8520133989252665,-189.64999999999992,-6,5.0
"{'IDWpower': 0.1, 'method': 'weighted', 'metric': 'cityblock', 'n_ngb': 5}",-0.010188376816435337,2.4868995964670533,-0.9651368936566904,-174.04999999999995,-4,12.7
"{'IDWpower': 0.1, 'method': 'weighted', 'metric': 'cityblock', 'n_ngb': 8}",-0.02688823480382673,2.807623386391094,-1.1345312483170342,-198.15,-1,14.55
"{'IDWpower': 0.1, 'method': 'weighted', 'metric': 'cityblock', 'n_ngb': 13}",-0.04078707963033056,3.273916126889244,-0.9035599453030856,-184.45,-4,11.4
"{'IDWpower': 0.1, 'method': 'weighted', 'metric': 'euclidean', 'n_ngb': 5}",-0.01715320082625355,2.7108423553667347,-1.0048479079755164,-181.15,-2,8.85
"{'IDWpower': 0.1, 'method': 'weighted', 'metric': 'euclidean', 'n_ngb': 8}",-0.03699562984523723,2.8085485608338523,-0.9154513121340396,-185.64999999999992,-2,10.85
"{'IDWpower': 0.1, 'method': 'weighted', 'metric': 'euclidean', 'n_ngb': 13}",-0.041134093480285,3.3350203592306102,-0.8332156172979394,-195.94999999999987,-3,8.0
"{'IDWpower': 0.1, 'method': 'complete', 'metric': 'cityblock', 'n_ngb': 5}",-0.01852300152177807,2.432754583736723,-0.8832662348688148,-185.45,0,16.0
"{'IDWpower': 0.1, 'method': 'complete', 'metric': 'cityblock', 'n_ngb': 8}",-0.04037573431181002,2.512507575035858,-0.8993202074147562,-177.3,0,23.55
"{'IDWpower': 0.1, 'method': 'complete', 'metric': 'cityblock', 'n_ngb': 13}",-0.055149167769389884,2.7690071636953557,-0.7159634068726098,-184.0,-1,16.85
"{'IDWpower': 0.1, 'method': 'complete', 'metric': 'euclidean', 'n_ngb': 5}",-0.05403645810121522,2.4152679839686386,-0.6425571112107937,-172.29999999999995,0,16.0
"{'IDWpower': 0.1, 'method': 'complete', 'metric': 'euclidean', 'n_ngb': 8}",-0.04778939920175211,2.719300310261677,-0.6966677105975081,-187.0,0,20.700000000000006
"{'IDWpower': 0.1, 'method': 'complete', 'metric': 'euclidean', 'n_ngb': 13}",-0.04468372414995032,3.3154797673586107,-0.7068852397011937,-178.49999999999991,-2,16.0
"{'IDWpower': 0.5, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 5}",-0.02648695719528721,2.3872130136042835,-1.0337073070393872,-199.79999999999993,-6,9.55
"{'IDWpower': 0.5, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 8}",-0.05053667928297089,2.7275203464467057,-0.8360003643570928,-202.89999999999995,-1,6.85
"{'IDWpower': 0.5, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 13}",-0.05310496675973736,3.3341726337207542,-0.8070193808216996,-186.24999999999991,-7,6.699999999999998
"{'IDWpower': 0.5, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 5}",-0.02798814607899541,2.551642225810949,-1.0473169995723994,-231.15,-5,5.0
"{'IDWpower': 0.5, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 8}",-0.04256558709487413,2.8605847921067835,-0.9179832995865856,-218.15,-4,5.85
"{'IDWpower': 0.5, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 13}",-0.04849576898702851,3.4161316726645,-0.8001063969055429,-199.19999999999996,-5,5.0
"{'IDWpower': 0.5, 'method': 'weighted', 'metric': 'cityblock', 'n_ngb': 5}",-0.039909974756842916,2.6338890597629434,-0.8349491288072497,-184.45,-4,7.699999999999998
"{'IDWpower': 0.5, 'method': 'weighted', 'metric': 'cityblock', 'n_ngb': 8}",-0.04719568340713794,2.7973955345138406,-0.8817708410749134,-179.14999999999995,0,12.85
"{'IDWpower': 0.5, 'method': 'weighted', 'metric': 'cityblock', 'n_ngb': 13}",-0.05619179708704211,3.251596766871905,-0.7926625195960093,-203.29999999999995,-4,10.55
"{'IDWpower': 0.5, 'method': 'weighted', 'metric': 'euclidean', 'n_ngb': 5}",-0.035953625289678263,2.670810675701108,-1.0444738373947944,-200.15,-5,5.0
"{'IDWpower': 0.5, 'method': 'weighted', 'metric': 'euclidean', 'n_ngb': 8}",-0.04788151713028211,2.8843228219430324,-0.8584593234725372,-200.04999999999995,-2,13.7
"{'IDWpower': 0.5, 'method': 'weighted', 'metric': 'euclidean', 'n_ngb': 13}",-0.044250829667507714,3.3201152120480484,-0.9022678932092818,-221.15,-5,5.0
"{'IDWpower': 0.5, 'method': 'complete', 'metric': 'cityblock', 'n_ngb': 5}",-0.03809127828916913,2.1169826134116887,-0.8630521440261438,-180.19999999999996,0,27.85
"{'IDWpower': 0.5, 'method': 'complete', 'metric': 'cityblock', 'n_ngb': 8}",-0.05066383066651675,2.5194211151757435,-0.7947048017815427,-182.3,0,28.55
"{'IDWpower': 0.5, 'method': 'complete', 'metric': 'cityblock', 'n_ngb': 13}",-0.0517520583360946,2.596900891931574,-0.8321642116475829,-167.0,0,27.85
"{'IDWpower': 0.5, 'method': 'complete', 'metric': 'euclidean', 'n_ngb': 5}",-0.041178110648210725,2.2279734660620223,-0.7445876182045674,-176.54999999999984,0,22.85
"{'IDWpower': 0.5, 'method': 'complete', 'metric': 'euclidean', 'n_ngb': 8}",-0.04428675885703174,2.780741665748989,-0.845287912769816,-201.15,0,14.85
"{'IDWpower': 0.5, 'method': 'complete', 'metric': 'euclidean', 'n_ngb': 13}",-0.046606667256128,3.1489754154946454,-0.7592350320330328,-182.34999999999997,-3,13.85
"{'IDWpower': 1.0, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 5}",-0.044348547866894836,2.4990617834853577,-0.9437491568443264,-192.15,-6,9.0
"{'IDWpower': 1.0, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 8}",-0.0624564005798576,2.8537795127105925,-0.7788930709450875,-211.29999999999995,-2,5.0
"{'IDWpower': 1.0, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 13}",-0.059111125567019425,3.2611010587940217,-0.8068621424345525,-199.79999999999993,-5,6.85
"{'IDWpower': 1.0, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 5}",-0.036566905560349576,2.548611413902226,-1.0067966666722268,-190.3,-5,6.85
"{'IDWpower': 1.0, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 8}",-0.050566710157073855,2.7777133767725632,-0.9049619548859704,-222.45,-5,4.0
"{'IDWpower': 1.0, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 13}",-0.0474548398240969,3.347273329546811,-0.8537978869534519,-197.75,-6,5.85
"{'IDWpower': 1.0, 'method': 'weighted', 'metric': 'cityblock', 'n_ngb': 5}",-0.04831411123761123,2.5134206663239085,-0.9298675373398052,-216.74999999999997,-3,9.0
"{'IDWpower': 1.0, 'method': 'weighted', 'metric': 'cityblock', 'n_ngb': 8}",-0.06346896551320412,2.8296668528552162,-0.8619678575475023,-212.3,-3,8.7
"{'IDWpower': 1.0, 'method': 'weighted', 'metric': 'cityblock', 'n_ngb': 13}",-0.06211115437595002,3.1677861748998346,-0.7831251962646582,-180.44999999999985,-5,7.0
"{'IDWpower': 1.0, 'method': 'weighted', 'metric': 'euclidean', 'n_ngb': 5}",-0.04722734876943327,2.4284116358937835,-0.8867660660294128,-192.3,-3,8.0
"{'IDWpower': 1.0, 'method': 'weighted', 'metric': 'euclidean', 'n_ngb': 8}",-0.05522885844173173,2.8910591606126097,-0.8989413644118773,-207.74999999999997,-2,11.7
"{'IDWpower': 1.0, 'method': 'weighted', 'metric': 'euclidean', 'n_ngb': 13}",-0.05088828818939496,3.26829123245638,-0.8566727995959031,-182.0,-5,7.85
"{'IDWpower': 1.0, 'method': 'complete', 'metric': 'cityblock', 'n_ngb': 5}",-0.05144591691777612,2.011019568142993,-0.9397704943980436,-191.15,-1,21.25
"{'IDWpower': 1.0, 'method': 'complete', 'metric': 'cityblock', 'n_ngb': 8}",-0.05990697935073381,2.307815983027012,-0.7806376584340589,-169.3,-1,26.0
"{'IDWpower': 1.0, 'method': 'complete', 'metric': 'cityblock', 'n_ngb': 13}",-0.061830993511544925,2.6994850634101324,-0.7242538362891482,-182.0,-1,21.85
"{'IDWpower': 1.0, 'method': 'complete', 'metric': 'euclidean', 'n_ngb': 5}",-0.044861698926525535,2.0895631683313654,-0.8233092525897072,-163.74999999999994,-1,16.7
"{'IDWpower': 1.0, 'method': 'complete', 'metric': 'euclidean', 'n_ngb': 8}",-0.04726006183636105,2.6820271418555524,-0.8190641573027908,-180.0,-1,14.85
"{'IDWpower': 1.0, 'method': 'complete', 'metric': 'euclidean', 'n_ngb': 13}",-0.04640666995190413,3.208680785779878,-0.8054196690936958,-166.59999999999997,-3,14.85
"{'IDWpower': 3.0, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 5}",-0.0550272949465727,1.9264214311610344,-0.908012228487184,-173.59999999999997,-1,8.85
"{'IDWpower': 3.0, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 8}",-0.0610010258991725,2.366307090871845,-0.78971055313673,-213.9,-4,7.699999999999998
"{'IDWpower': 3.0, 'method': 'average', 'metric': 'cityblock', 'n_ngb': 13}",-0.0610604054783527,2.5937417533957015,-0.9390991639384764,-210.15,-5,5.0
"{'IDWpower': 3.0, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 5}",-0.04636952466938366,2.126895271879009,-0.9010813028312596,-169.99999999999986,-4,6.85
"{'IDWpower': 3.0, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 8}",-0.04739872654770022,2.3985539916342042,-0.8736250514451245,-183.45,-2,5.85
"{'IDWpower': 3.0, 'method': 'average', 'metric': 'euclidean', 'n_ngb': 13}",-0.048851794457182,2.6049795973109737,-0.9152685584020596,-215.15,-2,5.85
"{'IDWpower': 3.0, 'method': 'weighted', 'metric': 'cityblock', 'n_ngb': 5}",-0.06223124879719773,2.0413025822142283,-0.8161482094125471,-182.19999999999996,-1,12.85
"{'IDWpower': 3.0, 'method': 'weighted', 'metric': 'cityblock', 'n_ngb': 8}",-0.0700412472717977,2.265881631791785,-0.7844205311710385,-199.6,-4,8.0
"{'IDWpower': 3.0, 'method': 'weighted', 'metric': 'cityblock', 'n_ngb': 13}",-0.06589858515944988,2.555808676995266,-0.8264943278989564,-203.74999999999997,-3,7.699999999999998
"{'IDWpower': 3.0, 'method': 'weighted', 'metric': 'euclidean', 'n_ngb': 5}",-0.04525637993808624,2.002800516231729,-0.8321540076077153,-183.29999999999995,-1,11.0
"{'IDWpower': 3.0, 'method': 'weighted', 'metric': 'euclidean', 'n_ngb': 8}",-0.05429032151774889,2.1473878572234595,-0.8408813325950336,-193.15,-1,9.7
"{'IDWpower': 3.0, 'method': 'weighted', 'metric': 'euclidean', 'n_ngb': 13}",-0.0532195430049041,2.6271598204850424,-0.9107859086770336,-200.6,-3,6.0
"{'IDWpower': 3.0, 'method': 'complete', 'metric': 'cityblock', 'n_ngb': 5}",-0.05556676732196096,1.8455592374959024,-0.8026717349356453,-159.04999999999995,0,17.85
"{'IDWpower': 3.0, 'method': 'complete', 'metric': 'cityblock', 'n_ngb': 8}",-0.07081547123134188,2.1216917084279685,-0.8465925128696032,-173.04999999999995,0,15.7
"{'IDWpower': 3.0, 'method': 'complete', 'metric': 'cityblock', 'n_ngb': 13}",-0.06428141853309957,2.311357354667314,-0.7999198842708838,-181.49999999999991,-1,14.85
"{'IDWpower': 3.0, 'method': 'complete', 'metric': 'euclidean', 'n_ngb': 5}",-0.04675522720294722,1.9175605053565201,-0.7730380009419214,-175.29999999999995,-1,17.85
"{'IDWpower': 3.0, 'method': 'complete', 'metric': 'euclidean', 'n_ngb': 8}",-0.04891416167163533,2.1162260672782365,-0.8445186100359078,-192.3,-1,17.0
"{'IDWpower': 3.0, 'method': 'complete', 'metric': 'euclidean', 'n_ngb': 13}",-0.05717508135642117,2.084777559160888,-0.7865086164584025,-187.5999999999998,0,16.85
"{'IDWpower': 0.1, 'method': 'centroid', 'metric': 'euclidean', 'n_ngb': 5}",-0.01977641092603224,2.699854922337902,-1.0141225747507914,-221.15,-6,3.0
"{'IDWpower': 0.1, 'method': 'centroid', 'metric': 'euclidean', 'n_ngb': 8}",-0.03180303215816359,3.0020543694186075,-0.9121745428963859,-218.19999999999996,-5,3.0
"{'IDWpower': 0.1, 'method': 'centroid', 'metric': 'euclidean', 'n_ngb': 13}",-0.042009047120934895,3.711801686991458,-0.8781767260719489,-209.84999999999985,-5,3.0
"{'IDWpower': 0.5, 'method': 'centroid', 'metric': 'euclidean', 'n_ngb': 5}",-0.030349106436776106,2.646638391171078,-1.0514749316945522,-222.3,-6,4.0
"{'IDWpower': 0.5, 'method': 'centroid', 'metric': 'euclidean', 'n_ngb': 8}",-0.04292999965166087,3.109033298038844,-0.9287142715833206,-208.74999999999997,-8,3.0
"{'IDWpower': 0.5, 'method': 'centroid', 'metric': 'euclidean', 'n_ngb': 13}",-0.0443112743054067,3.677484961495313,-0.8694641021964746,-218.3,-8,3.6999999999999993
"{'IDWpower': 1.0, 'method': 'centroid', 'metric': 'euclidean', 'n_ngb': 5}",-0.0406763735273295,2.5692930721580307,-1.0631102521463702,-210.15,-10,3.0
"{'IDWpower': 1.0, 'method': 'centroid', 'metric': 'euclidean', 'n_ngb': 8}",-0.040969324981412716,3.1618811862833587,-0.9754194846536512,-218.34999999999997,-8,2.0
"{'IDWpower': 1.0, 'method': 'centroid', 'metric': 'euclidean', 'n_ngb': 13}",-0.04518153588020748,3.700284591307372,-0.8818973598648177,-205.19999999999996,-9,2.85
"{'IDWpower': 3.0, 'method': 'centroid', 'metric': 'euclidean', 'n_ngb': 5}",-0.0398113464331156,2.1108543096475736,-0.9146657057034252,-202.24999999999991,-4,5.0
"{'IDWpower': 3.0, 'method': 'centroid', 'metric': 'euclidean', 'n_ngb': 8}",-0.044583738849631536,2.4451283019930106,-1.0252592699129215,-191.89999999999992,-6,4.0
"{'IDWpower': 3.0, 'method': 'centroid', 'metric': 'euclidean', 'n_ngb': 13}",-0.04822675688717816,2.7709124880445017,-0.9860967057224732,-195.09999999999994,-10,2.85
